Title,Author,PublishedAt,Description,URL
New Trump Tariff Impact On China Likely Overestimated: Andy Rothman,"Russell Flannery, Senior Contributor, 
 Russell Flannery, Senior Contributor
 https://www.forbes.com/sites/russellflannery/",2024-11-08T18:04:07Z,"Recovery in domestic confidence is more important to China’s own growth, says long-time Matthews Asia China investment strategist",https://www.forbes.com/sites/forbeschina/2024/11/08/new-trump-tariff-impact-on-china-likely-overestimated-andy-rothman/
PNC Financial Services Group Inc. Purchases 845 Shares of Alibaba Group Holding Limited (NYSE:BABA),MarketBeat News,2024-11-25T09:07:06Z,"PNC Financial Services Group Inc. grew its holdings in Alibaba Group Holding Limited (NYSE:BABA – Free Report) by 2.0% during the third quarter, according to the company in its most recent disclosure with the Securities & Exchange Commission. The firm owned 4…",https://www.etfdailynews.com/2024/11/25/pnc-financial-services-group-inc-purchases-845-shares-of-alibaba-group-holding-limited-nysebaba/
Alibaba forms new e-commerce business,breakingthenews.net,2024-11-21T11:18:14Z,"Alibaba Group Holding Ltd. announced on Thursday that it is assembling its e-commerce businesses under the Alibaba E-Commerce Business Group. The unit will include Taobao, Tmall, AliExpress, Alibaba.c...",https://biztoc.com/x/2f08bb159179859b
Alibaba forms umbrella e-commerce business,breakingthenews.net,2024-11-21T11:28:32Z,"Alibaba Group Holding Ltd. announced on Thursday that it is assembling its e-commerce businesses under the Alibaba E-Commerce Business Group. The unit will include Taobao, Tmall, AliExpress, Alibaba.c...",https://biztoc.com/x/166352e81087675d
CMA Publishes Provisional Findings Against Apple; Alibaba Merges E-Commerce Operations; AUS Introduces Social Media Ban Bill for Under 16s,Aimee Newell Tarín,2024-11-25T07:05:00Z,"News in brief: CMA Publishes Provisional Findings Against Apple; Alibaba Merges E-Commerce Operations; AUS Introduces Social Media Ban Bill for Under 16s 
CMA Publishes Provisional Findings Against Apple
Following an inquiry into the mobile browser market, th…",https://www.exchangewire.com/blog/2024/11/25/cma-publishes-provisional-findings-against-apple-alibaba-merges-e-commerce-operations-aus-introduces-social-media-ban-for-under-16s/
Portside Wealth Group LLC Buys New Stake in Alibaba Group Holding Limited (NYSE:BABA),MarketBeat News,2024-11-10T10:36:50Z,"Portside Wealth Group LLC purchased a new position in shares of Alibaba Group Holding Limited (NYSE:BABA – Free Report) in the third quarter, according to its most recent disclosure with the Securities and Exchange Commission. The fund purchased 2,938 shares …",https://www.etfdailynews.com/2024/11/10/portside-wealth-group-llc-buys-new-stake-in-alibaba-group-holding-limited-nysebaba/
Threat actor says Interbank refused to pay the ransom after a two-week negotiation,Pierluigi Paganini,2024-10-31T15:20:44Z,"Peruvian Interbank confirmed a data breach after threat actors accessed its systems and leaked stolen information online. Interbank, formally the Banco Internacional del Perú Service Holding S.A.A. is a leading Peruvian provider of financial services has over…",https://securityaffairs.com/170431/data-breach/interbank-refused-to-pay-the-ransom.html
"Chicago Partners Investment Group LLC Purchases Shares of 2,428 Alibaba Group Holding Limited (NYSE:BABA)",MarketBeat News,2024-11-06T10:10:55Z,"Chicago Partners Investment Group LLC purchased a new position in shares of Alibaba Group Holding Limited (NYSE:BABA – Free Report) during the 3rd quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission (SEC). The fir…",https://www.etfdailynews.com/2024/11/06/chicago-partners-investment-group-llc-purchases-shares-of-2428-alibaba-group-holding-limited-nysebaba/
Pinnacle Associates Ltd. Raises Stock Position in Alibaba Group Holding Limited (NYSE:BABA),MarketBeat News,2024-11-03T09:28:52Z,"Pinnacle Associates Ltd. grew its holdings in Alibaba Group Holding Limited (NYSE:BABA – Free Report) by 4.4% in the 3rd quarter, HoldingsChannel reports. The firm owned 4,878 shares of the specialty retailer’s stock after purchasing an additional 207 shares …",https://www.etfdailynews.com/2024/11/03/pinnacle-associates-ltd-raises-stock-position-in-alibaba-group-holding-limited-nysebaba/
QRG Capital Management Inc. Has $3.96 Million Position in Alibaba Group Holding Limited (NYSE:BABA),MarketBeat News,2024-11-07T09:25:02Z,"QRG Capital Management Inc. lifted its position in shares of Alibaba Group Holding Limited (NYSE:BABA – Free Report) by 4.4% during the 3rd quarter, Holdings Channel reports. The firm owned 37,324 shares of the specialty retailer’s stock after purchasing an a…",https://www.etfdailynews.com/2024/11/07/qrg-capital-management-inc-has-3-96-million-position-in-alibaba-group-holding-limited-nysebaba/
Alibaba Group Holding Limited (NYSE:BABA) Shares Acquired by Venturi Wealth Management LLC,MarketBeat News,2024-11-14T09:48:40Z,"Venturi Wealth Management LLC increased its holdings in shares of Alibaba Group Holding Limited (NYSE:BABA – Free Report) by 6.0% during the 3rd quarter, Holdings Channel reports. The institutional investor owned 2,152 shares of the specialty retailer’s stock…",https://www.etfdailynews.com/2024/11/14/alibaba-group-holding-limited-nysebaba-shares-acquired-by-venturi-wealth-management-llc/
"Segall Bryant & Hamill LLC Sells 1,400 Shares of Alibaba Group Holding Limited (NYSE:BABA)",MarketBeat News,2024-11-24T10:38:56Z,"Segall Bryant & Hamill LLC reduced its position in Alibaba Group Holding Limited (NYSE:BABA – Free Report) by 6.5% during the third quarter, HoldingsChannel reports. The fund owned 20,100 shares of the specialty retailer’s stock after selling 1,400 shares dur…",https://www.etfdailynews.com/2024/11/24/segall-bryant-hamill-llc-sells-1400-shares-of-alibaba-group-holding-limited-nysebaba/
Apollon Wealth Management LLC Makes New Investment in Alibaba Group Holding Limited (NYSE:BABA),MarketBeat News,2024-11-16T11:44:55Z,"Apollon Wealth Management LLC bought a new stake in Alibaba Group Holding Limited (NYSE:BABA – Free Report) in the third quarter, according to the company in its most recent Form 13F filing with the Securities and Exchange Commission (SEC). The fund bought 8,…",https://www.etfdailynews.com/2024/11/16/apollon-wealth-management-llc-makes-new-investment-in-alibaba-group-holding-limited-nysebaba/
Alibaba Group Holding Limited (NYSE:BABA) Shares Sold by MAI Capital Management,MarketBeat News,2024-11-22T09:15:08Z,"MAI Capital Management decreased its stake in shares of Alibaba Group Holding Limited (NYSE:BABA – Free Report) by 59.7% in the 3rd quarter, according to its most recent Form 13F filing with the SEC. The institutional investor owned 9,704 shares of the specia…",https://www.etfdailynews.com/2024/11/22/alibaba-group-holding-limited-nysebaba-shares-sold-by-mai-capital-management/
Alibaba Group (NYSE:BABA) Stock Price Up 2% Following Analyst Upgrade,MarketBeat News,2024-10-27T05:11:04Z,Alibaba Group Holding Limited (NYSE:BABA – Get Free Report)’s stock price traded up 2% on Friday after Robert W. Baird raised their price target on the stock from $88.00 to $110.00. Robert W. Baird currently has an outperform rating on the stock. Alibaba Grou…,https://www.etfdailynews.com/2024/10/27/alibaba-group-nysebaba-stock-price-up-2-following-analyst-upgrade/
"Old Port Advisors Invests $253,000 in Alibaba Group Holding Limited (NYSE:BABA)",MarketBeat News,2024-10-30T10:52:45Z,"Old Port Advisors purchased a new position in shares of Alibaba Group Holding Limited (NYSE:BABA – Free Report) during the 3rd quarter, according to the company in its most recent Form 13F filing with the Securities and Exchange Commission. The fund purchased…",https://www.etfdailynews.com/2024/10/30/old-port-advisors-invests-253000-in-alibaba-group-holding-limited-nysebaba/
Allworth Financial LP Sells 185 Shares of Alibaba Group Holding Limited (NYSE:BABA),MarketBeat News,2024-10-30T08:15:30Z,"Allworth Financial LP lessened its holdings in Alibaba Group Holding Limited (NYSE:BABA – Free Report) by 5.0% during the third quarter, according to the company in its most recent Form 13F filing with the Securities & Exchange Commission. The institutional i…",https://www.etfdailynews.com/2024/10/30/allworth-financial-lp-sells-185-shares-of-alibaba-group-holding-limited-nysebaba/
PFG Investments LLC Sells 480 Shares of Alibaba Group Holding Limited (NYSE:BABA),MarketBeat News,2024-10-28T09:00:16Z,"PFG Investments LLC lessened its holdings in Alibaba Group Holding Limited (NYSE:BABA – Free Report) by 5.0% during the third quarter, according to the company in its most recent 13F filing with the SEC. The institutional investor owned 9,093 shares of the sp…",https://www.etfdailynews.com/2024/10/28/pfg-investments-llc-sells-480-shares-of-alibaba-group-holding-limited-nysebaba/
"Summit Global Investments Sells 6,180 Shares of Alibaba Group Holding Limited (NYSE:BABA)",MarketBeat News,2024-11-10T09:18:52Z,"Summit Global Investments cut its stake in Alibaba Group Holding Limited (NYSE:BABA – Free Report) by 47.7% in the third quarter, according to its most recent Form 13F filing with the Securities & Exchange Commission. The firm owned 6,783 shares of the specia…",https://www.etfdailynews.com/2024/11/10/summit-global-investments-sells-6180-shares-of-alibaba-group-holding-limited-nysebaba/
"Stephens Inc. AR Sells 6,196 Shares of Alibaba Group Holding Limited (NYSE:BABA)",MarketBeat News,2024-11-06T09:38:59Z,"Stephens Inc. AR trimmed its holdings in shares of Alibaba Group Holding Limited (NYSE:BABA – Free Report) by 49.0% in the third quarter, according to the company in its most recent filing with the Securities and Exchange Commission (SEC). The fund owned 6,44…",https://www.etfdailynews.com/2024/11/06/stephens-inc-ar-sells-6196-shares-of-alibaba-group-holding-limited-nysebaba/
Alibaba Group Holding Limited (NYSE:BABA) Shares Sold by US Bancorp DE,MarketBeat News,2024-11-06T10:56:49Z,"US Bancorp DE trimmed its stake in shares of Alibaba Group Holding Limited (NYSE:BABA – Free Report) by 37.8% in the 3rd quarter, according to the company in its most recent Form 13F filing with the Securities & Exchange Commission. The fund owned 31,266 shar…",https://www.etfdailynews.com/2024/11/06/alibaba-group-holding-limited-nysebaba-shares-sold-by-us-bancorp-de/
Alibaba Group Holding Limited (NYSE:BABA) Holdings Raised by Pathstone Holdings LLC,MarketBeat News,2024-11-24T09:41:06Z,"Pathstone Holdings LLC boosted its stake in Alibaba Group Holding Limited (NYSE:BABA – Free Report) by 5.7% in the third quarter, according to its most recent filing with the Securities & Exchange Commission. The institutional investor owned 37,149 shares of …",https://www.etfdailynews.com/2024/11/24/alibaba-group-holding-limited-nysebaba-holdings-raised-by-pathstone-holdings-llc/
Alibaba Group Holding Limited (NYSE:BABA) Receives $114.00 Average PT from Analysts,MarketBeat News,2024-11-04T09:24:50Z,"Shares of Alibaba Group Holding Limited (NYSE:BABA – Get Free Report) have earned a consensus recommendation of “Moderate Buy” from the fifteen analysts that are covering the firm, MarketBeat.com reports. Two investment analysts have rated the stock with a ho…",https://www.etfdailynews.com/2024/11/04/alibaba-group-holding-limited-nysebaba-receives-114-00-average-pt-from-analysts/
Avior Wealth Management LLC Decreases Position in Alibaba Group Holding Limited (NYSE:BABA),MarketBeat News,2024-11-22T10:24:57Z,"Avior Wealth Management LLC cut its holdings in Alibaba Group Holding Limited (NYSE:BABA – Free Report) by 7.9% in the third quarter, according to the company in its most recent disclosure with the SEC. The fund owned 5,460 shares of the specialty retailer’s …",https://www.etfdailynews.com/2024/11/22/avior-wealth-management-llc-decreases-position-in-alibaba-group-holding-limited-nysebaba/
"DekaBank Deutsche Girozentrale Purchases 33,410 Shares of Alibaba Group Holding Limited (NYSE:BABA)",MarketBeat News,2024-10-31T08:44:49Z,"DekaBank Deutsche Girozentrale raised its position in shares of Alibaba Group Holding Limited (NYSE:BABA – Free Report) by 86.9% during the third quarter, according to its most recent disclosure with the Securities and Exchange Commission. The fund owned 71,8…",https://www.etfdailynews.com/2024/10/31/dekabank-deutsche-girozentrale-purchases-33410-shares-of-alibaba-group-holding-limited-nysebaba/
"Modera Wealth Management LLC Acquires Shares of 2,121 Alibaba Group Holding Limited (NYSE:BABA)",MarketBeat News,2024-10-30T08:58:52Z,"Modera Wealth Management LLC bought a new position in shares of Alibaba Group Holding Limited (NYSE:BABA – Free Report) during the 3rd quarter, according to its most recent Form 13F filing with the SEC. The institutional investor bought 2,121 shares of the sp…",https://www.etfdailynews.com/2024/10/30/modera-wealth-management-llc-acquires-shares-of-2121-alibaba-group-holding-limited-nysebaba/
Strategic Wealth Investment Group LLC Invests $1.07 Million in Alibaba Group Holding Limited (NYSE:BABA),marketbeat.com,2024-10-29T11:13:18Z,"Strategic Wealth Investment Group LLC purchased a new position in Alibaba Group Holding Limited (NYSE:BABA - Free Report) during the 3rd quarter, according to the company in its most recent filing with the Securities & Exchange Commission. The fund purchased …",https://biztoc.com/x/4cea675db96dfd2c
Alibaba: Fiscal Q2 Earnings Snapshot,finance.yahoo.com,2024-11-15T11:49:59Z,"In This Article:
HONG KONG (AP) — HONG KONG (AP) — Alibaba Group Holding Ltd. (BABA) on Friday reported fiscal second-quarter profit of $6.25 billion.
The Hong Kong-based company said it had profit of $2.59 per share. Earnings, adjusted for non-recurring gain…",https://biztoc.com/x/4444f4b0746d0293
Alibaba's Q2 revenue up by 5% to $33.7 billion,breakingthenews.net,2024-11-15T11:39:40Z,"Alibaba Group Holding Limited announced on Friday that its revenue in the September quarter of its fiscal year 2024 saw an annual rise of 5% to hit 263.5 billion Chinese renminbi (RMB), or $33.7 billi...",https://biztoc.com/x/84ea6934fffc3fed
Alibaba Layoffs Hit Metaverse Division: Will The Chinese E-Commerce Giant Double-Down On AI?,benzinga.com,2024-11-04T17:12:44Z,"Chinese e-commerce giant Alibaba Group Holding Limited (NYSE:BABA) recently made cuts to its metaverse division, Yuanjing, as part of a broader trend of tech companies scaling back their investments in the once-hyped sector. 
The Details: Alibaba has laid off…",https://biztoc.com/x/0b2c1ba0a12da633
"China’s Alibaba, Tencent, JD.com to Post Earnings as Possible Stimulus Package in Focus",Bloomberg News,2024-11-08T02:03:46Z,"Alibaba Group Holding Ltd., Tencent Holdings Ltd. and JD.com Inc. will post earnings soon after China is expected to sign off on what could be its biggest fiscal package to spur growth since the pandemic.",https://financialpost.com/pmn/business-pmn/chinas-alibaba-tencent-jd-com-to-post-earnings-as-possible-stimulus-package-in-focus
"Alibaba to merge domestic and global e-commerce units, names Jiang Fan as CEO",scmp.com,2024-11-21T11:28:32Z,"Alibaba Group Holding will merge its domestic and overseas e-commerce operations into one unit and named Jiang Fan, the tech giant’s 39-year-old heir-apparent, as CEO, the company said in a statement on Thursday.
The reorganisation is the largest since Alibab…",https://biztoc.com/x/9dd32138980ce8f2
Alibaba Group (BABA) Set to Announce Earnings on Friday,MarketBeat News,2024-11-13T07:10:47Z,"Alibaba Group (NYSE:BABA – Get Free Report) is set to post its quarterly earnings results before the market opens on Friday, November 15th. Analysts expect Alibaba Group to post earnings of $1.87 per share for the quarter. Investors interested in listening to…",https://www.etfdailynews.com/2024/11/13/alibaba-group-baba-set-to-announce-earnings-on-friday/
China's Alibaba misses quarterly revenue estimates,finance.yahoo.com,2024-11-15T11:39:31Z,"In This Article:
(Reuters) -Alibaba Group Holding missed analysts' estimates for quarterly sales on Friday, as lingering economic uncertainty sapped consumer spending in China and weighed on the e-commerce giant's domestic business.
Chinese consumers have sha…",https://biztoc.com/x/f874f064de4e007d
Alibaba Group Holding Limited (NYSE:BABA) Stake Trimmed by Mirae Asset Global Investments Co. Ltd,marketbeat.com,2024-10-27T10:24:43Z,"Mirae Asset Global Investments Co. Ltd. lowered its stake in Alibaba Group Holding Limited (NYSE:BABA - Free Report) by 16.2% during the third quarter, according to its most recent 13F filing with the Securities and Exchange Commission. The institutional inve…",https://biztoc.com/x/6c1ed9bf777715a0
"423,176 Shares in Alibaba Group Holding Limited (NYSE:BABA) Acquired by Polunin Capital Partners Ltd",marketbeat.com,2024-10-26T16:22:55Z,"Polunin Capital Partners Ltd purchased a new position in Alibaba Group Holding Limited (NYSE:BABA - Free Report) in the third quarter, according to its most recent disclosure with the Securities and Exchange Commission (SEC). The firm purchased 423,176 shares…",https://biztoc.com/x/038f04d8363b1eac
"Alibaba Group Holding Limited (NYSE:BABA) Given Average Recommendation of ""Moderate Buy"" by Brokerages",marketbeat.com,2024-10-30T07:26:33Z,"Shares of Alibaba Group Holding Limited (NYSE:BABA - Get Free Report) have been given an average rating of ""Moderate Buy"" by the sixteen research firms that are currently covering the stock, MarketBeat Ratings reports. Two analysts have rated the stock with a…",https://biztoc.com/x/b0d6a946e5bc32b0
Sea’s Shares Hit Two-Year Peak After Shopping Arm’s First Profit,finance.yahoo.com,2024-11-13T01:02:35Z,"In This Article:
(Bloomberg) -- Sea Ltd.’s stock soared to its highest in more than two years after its e-commerce business posted its first adjusted profit, a sign it’s holding its own against bigger Chinese rivals like Alibaba Group Holding Ltd.
Most Read f…",https://biztoc.com/x/fd33d64fe075f8e0
"Alibaba, JD Tout Singles’ Day Highs While China Economy Sags",finance.yahoo.com,2024-11-12T10:35:06Z,"In This Article:
(Bloomberg) -- China’s biggest e-commerce platforms issued a raft of numbers showing robust sales growth during the country’s biggest annual online shopping gala, belying concerns about the malaise dogging the world’s No. 2 economy.
Most Read…",https://biztoc.com/x/c51eccc007af872c
"Alibaba to Offer Notes for Debt Repayment, Share Repurchases",finance.yahoo.com,2024-11-18T03:37:02Z,"In This Article:
(Bloomberg) -- Alibaba Group Holding Ltd. has hired banks to sell dollar and yuan bonds that will be used to pay back offshore debt and buy back shares, following the Chinese tech conglomerate’s issuance of a record convertible bond earlier t…",https://biztoc.com/x/6d6f79ac057d7721
"The Fall of Ant Group's IPO: Alibaba's Missteps, Legal Battles, and a $433.5M Settlement",benzinga.com,2024-11-25T21:34:41Z,"In 2020, Alibaba Group Holding Ltd (NYSE:BABA) prepared for the record-breaking IPO of its affiliate, Ant Group, poised to revolutionize financial technology.
Just days before the launch, regulators revealed that Ant had bypassed key banking laws to expand it…",https://biztoc.com/x/cd1c1067654dbcad
Mongolia’s Prime Minister Looks to Boost All-Important Economic Ties With China,Shannon,2024-11-13T15:32:58Z,"Mongolia and China seem to be moving forward on long-hoped-for cross-border infrastructure and joint energy projects, while stepping up technology cooperation.",https://thediplomat.com/2024/11/mongolias-prime-minister-looks-to-boost-all-important-economic-ties-with-china/
"China, Indonesia seal $10 billion in deals focused on green energy and tech",webdesk@voanews.com (Reuters),2024-11-10T21:08:55Z,"Beijing — China and Indonesia signed deals worth $10 billion at the Indonesia-China Business Forum in Beijing on Sunday, spanning sectors including food, new energy, technology, and biotechnology, Chinese state media reported. 


The forum followed a meeting …",https://www.voanews.com/a/china-indonesia-seal-10-billion-in-deals-focused-on-green-energy-and-tech/7858988.html
"Alibaba's Monetization Strategy Gains Momentum, But GMV Growth Lags: Analyst",aol.com,2024-11-18T20:21:04Z,"Benchmark analyst Fawne Jiang maintained a Buy rating on Alibaba Group Holding (NYSE:BABA) with a price target of $118.
Jiang remarked that Alibaba’s latest earnings report was a mixed bag, offering encouraging signs and areas of concern. While customer manag…",https://biztoc.com/x/793d6a6e2cb380cb
Barclays Issues Pessimistic Forecast for Alibaba Group (NYSE:BABA) Stock Price,MarketBeat News,2024-11-21T09:26:48Z,"Alibaba Group (NYSE:BABA – Get Free Report) had its price target reduced by research analysts at Barclays from $137.00 to $130.00 in a research note issued on Tuesday,Benzinga reports. The brokerage presently has an “overweight” rating on the specialty retail…",https://www.etfdailynews.com/2024/11/21/barclays-issues-pessimistic-forecast-for-alibaba-group-nysebaba-stock-price/
What China's lackluster Singles Day says about Xi Jinping and deflation,asia.nikkei.com,2024-11-18T19:36:32Z,"TOKYO -- When China's mobile payment app Alipay suffered a brief service disruption during this year's Singles Day on Nov. 11, it was a fitting metaphor for just how far the country's online shopping extravaganza has fallen.
Alibaba Group Holding, the e-comme…",https://biztoc.com/x/715db3dc9f8d151a
Head-To-Head Analysis: Augmedix (NASDAQ:AUGX) and Alibaba Group (NYSE:BABA),MarketBeat News,2024-10-30T12:12:49Z,"Augmedix (NASDAQ:AUGX – Get Free Report) and Alibaba Group (NYSE:BABA – Get Free Report) are both medical companies, but which is the better stock? We will contrast the two businesses based on the strength of their analyst recommendations, institutional owner…",https://www.etfdailynews.com/2024/10/30/head-to-head-analysis-augmedix-nasdaqaugx-and-alibaba-group-nysebaba/
Robert W. Baird Raises Alibaba Group (NYSE:BABA) Price Target to $110.00,MarketBeat News,2024-10-27T09:32:57Z,"Alibaba Group (NYSE:BABA – Free Report) had its price target hoisted by Robert W. Baird from $88.00 to $110.00 in a research note issued to investors on Thursday, Benzinga reports. The brokerage currently has an outperform rating on the specialty retailer’s s…",https://www.etfdailynews.com/2024/10/27/robert-w-baird-raises-alibaba-group-nysebaba-price-target-to-110-00/
"Alibaba, NIO Surge Among Monday's Afternoon Market Cap Stock Movers",Investing.com,2024-10-28T18:46:05Z,"Alibaba, NIO Surge Among Monday's Afternoon Market Cap Stock Movers",https://www.investing.com/news/stock-market-news/alibaba-nio-surge-among-mondays-afternoon-market-cap-stock-movers-93CH-3686555
Alibaba to pay $433.5 million to settle shareholder lawsuit over monopoly claims,Reuters,2024-10-26T04:01:06Z,Alibaba to pay $433.5 million to settle shareholder lawsuit over monopoly claims,https://www.investing.com/news/stock-market-news/alibaba-to-pay-4335-million-to-settle-shareholder-lawsuit-over-monopoly-claims-3684492
"Asian Stocks Gain on China Recovery, Weaker Dollar: Markets Wrap",Richard Henderson,2024-11-15T03:42:11Z,"(Bloomberg) -- Asian equities climbed, aided by some encouraging signs in China’s economy and a retreat in the dollar.Most Read from BloombergUnder Trump...",https://finance.yahoo.com/news/dollar-rises-december-fed-cut-222041265.html
Adani Offers Dollar Bond Again After Earlier Deal Postponed,Bloomberg News,2024-11-20T04:20:17Z,Billionaire Gautam Adani’s conglomerate kicked off a dollar bond sale Wednesday after postponing an offering last month when some investors pushed back on pricing.,https://financialpost.com/pmn/business-pmn/adani-offers-dollar-bond-again-after-earlier-deal-postponed
Inflation and retail sales data greet a roaring stock market rally: What to know this week,Josh Schafer,2024-11-10T12:45:52Z,A key inflation reading is set to greet investors amid a roaring post-election rally in markets.,https://finance.yahoo.com/news/inflation-and-retail-sales-data-greet-a-roaring-stock-market-rally-what-to-know-this-week-124552744.html
"AbbVie, Nvidia Lead Friday's Market Cap Stock Movers",Investing.com,2024-11-22T15:38:39Z,"AbbVie, Nvidia Lead Friday's Market Cap Stock Movers",https://www.investing.com/news/stock-market-news/-93CH-3737561
